Tester_ID,Module,Total_TestCases_Executed,Defects_Found,Defect_Severity_Avg,Automation_Coverage,Execution_Hours,Avg_Closure_Time
T441,Notifications,25,6,4.3,72.2,64.3,6.58
T104,Reports,58,19,1.2,33.3,92.8,9.02
T295,Dashboard,89,6,3.0,21.0,12.1,11.39
T239,Inventory,27,1,2.8,32.5,51.2,3.38
T330,Inventory,141,28,3.6,74.6,24.4,19.79
T437,Dashboard,23,14,2.9,74.7,36.2,8.5
T403,Dashboard,105,24,1.9,87.9,10.4,14.09
T328,Reports,39,27,1.4,52.7,10.3,13.48
T104,Login,132,4,1.9,18.3,60.8,2.93
T400,Orders,127,23,1.6,91.7,15.4,14.46
T301,Inventory,116,15,1.3,85.5,109.7,12.63
T001,Dashboard,143,3,3.3,64.4,111.7,12.66
T117,Dashboard,55,4,3.1,91.2,26.5,5.71
T363,Payments,146,27,2.9,38.7,59.3,21.35
T141,Dashboard,115,15,2.1,25.3,8.1,14.36
T274,Payments,65,26,1.0,61.1,47.1,17.97
T249,Reports,80,16,2.1,78.0,43.5,16.55
T204,Inventory,59,14,1.7,76.5,49.4,8.09
T500,Search,72,18,2.5,93.7,16.1,13.98
T464,Inventory,57,1,3.1,93.8,94.9,7.08
T354,Search,49,19,2.9,48.1,110.3,12.47
T478,Dashboard,122,0,2.1,73.8,81.1,6.12
T153,Payments,50,11,2.2,97.9,60.1,6.2
T165,Reports,105,28,4.0,83.6,13.0,13.84
T381,Reports,95,28,1.6,96.8,6.3,12.71
T192,Payments,89,11,1.3,16.5,79.6,4.59
T276,Search,115,15,3.3,28.8,88.2,13.56
T499,Dashboard,35,12,1.5,21.0,23.9,4.65
T420,Inventory,42,5,4.7,39.5,116.4,11.71
T031,Orders,71,8,1.4,27.5,47.9,7.43
T011,Search,116,25,2.0,34.6,87.5,11.51
T500,Payments,117,16,3.8,31.2,100.2,18.24
T445,Inventory,84,2,1.8,46.2,15.3,1.81
T104,Login,36,26,1.9,40.1,55.9,12.93
T277,Notifications,108,21,2.2,38.4,44.9,16.02
T412,Payments,26,27,4.6,28.6,76.0,12.09
T265,Inventory,50,10,4.8,20.1,106.4,8.99
T343,Search,129,20,2.2,33.1,25.0,11.16
T379,Orders,106,2,2.1,35.6,44.7,7.48
T283,Search,54,29,,29.0,32.6,17.11
T500,Search,102,0,4.4,79.6,50.2,10.37
T344,Dashboard,120,29,1.1,88.4,39.1,14.6
T175,Inventory,43,11,4.8,98.7,55.2,7.27
T048,Inventory,30,10,4.0,17.6,11.6,7.35
T439,Search,23,10,1.9,12.4,12.5,4.97
T230,Search,68,14,3.5,70.0,39.7,6.71
T215,Search,20,9,4.9,73.8,20.0,9.52
T138,Inventory,31,0,4.8,47.7,79.9,7.82
T174,Dashboard,43,20,1.6,28.7,17.6,6.9
T387,Login,21,27,2.9,81.1,28.2,14.22
T403,Reports,29,17,4.8,90.5,117.4,12.89
T059,Reports,127,16,3.1,48.8,11.1,13.78
T240,Reports,39,1,4.7,10.7,76.3,10.87
T093,Orders,82,20,1.7,18.0,106.9,14.93
T396,Inventory,106,5,2.7,57.5,101.8,11.65
T395,Payments,67,18,4.5,62.1,106.6,9.07
T114,Reports,70,15,3.7,78.9,82.9,13.35
T479,Dashboard,50,3,3.5,33.1,14.3,6.03
T420,Inventory,143,3,4.5,64.4,95.5,12.64
T029,Orders,64,7,2.0,73.3,25.4,7.68
T004,Login,113,11,2.4,80.7,20.5,10.62
T340,Payments,84,26,1.9,52.4,20.2,18.27
T341,Reports,44,7,3.0,74.0,103.9,12.0
T304,Search,144,11,3.2,51.6,98.9,14.1
T015,Login,143,22,2.0,13.5,80.3,17.85
T251,Dashboard,139,24,2.6,97.4,13.6,14.47
T198,Payments,120,9,2.1,39.6,54.2,13.09
T445,Dashboard,83,13,3.1,20.0,107.9,15.27
T198,Login,130,2,3.5,,87.4,9.81
T121,Payments,129,1,4.9,29.2,19.9,9.54
T436,Notifications,118,26,,32.0,27.8,17.63
T263,Inventory,65,18,1.2,47.2,41.1,6.41
T473,Orders,47,5,4.7,99.4,50.6,3.73
T104,Search,64,24,4.5,59.4,,14.49
T230,Dashboard,48,0,1.5,72.1,113.4,6.88
T367,Search,123,8,3.4,57.5,86.4,9.45
T072,Login,78,13,1.9,61.8,65.6,10.92
T358,Orders,31,11,1.1,40.8,114.8,2.58
T453,Login,124,1,2.9,48.0,112.9,9.61
T245,Inventory,65,0,1.6,30.3,102.4,7.86
T408,Search,84,26,,,34.1,13.54
T164,Notifications,43,15,2.1,27.6,73.6,10.51
T208,Search,57,5,3.2,95.6,48.3,7.88
T227,Inventory,43,22,3.0,26.4,19.6,13.38
T452,Dashboard,146,9,4.3,15.4,46.7,13.24
T339,Inventory,140,18,2.8,92.2,119.0,17.32
T442,Login,53,19,4.0,60.2,118.9,13.79
T462,Orders,43,23,4.0,86.0,78.6,14.93
T047,Dashboard,77,28,2.0,46.9,13.1,12.74
T132,Payments,125,19,,61.0,88.4,17.62
T047,Reports,71,3,1.8,84.4,29.4,6.11
T486,Inventory,55,19,2.0,79.4,47.7,12.23
T286,Dashboard,130,10,3.1,26.2,40.7,10.19
T471,Inventory,54,9,2.8,99.0,73.3,8.03
T150,Notifications,140,15,4.6,51.3,,13.01
T379,Notifications,102,26,2.5,,94.0,18.07
T022,Payments,96,7,5.0,66.7,11.8,14.75
T466,Login,71,5,3.6,38.5,23.5,1.79
T024,Dashboard,147,1,1.2,76.5,88.5,8.53
T236,Reports,111,10,4.6,23.9,46.3,15.12
T255,Search,42,14,2.6,50.3,17.7,8.65
T384,Dashboard,53,1,4.7,78.8,103.6,6.91
T095,Notifications,92,21,4.5,68.1,108.2,17.35
T357,Reports,83,29,1.4,92.0,46.2,14.71
T200,Dashboard,22,22,1.8,94.3,14.9,11.55
T277,Login,97,7,1.9,12.8,48.5,8.65
T028,Dashboard,146,12,4.1,19.6,46.6,19.26
T460,Dashboard,103,1,2.7,68.5,119.7,9.47
T006,Orders,111,22,2.3,61.8,109.7,15.26
T306,Login,83,6,3.2,43.1,36.5,9.97
T471,Login,46,18,4.3,77.1,26.4,10.28
T218,Notifications,116,23,4.1,66.4,72.2,20.35
T192,Orders,36,4,4.2,65.4,84.7,5.83
T083,Login,45,5,3.1,66.2,96.7,7.39
T078,Search,134,4,2.8,62.7,63.6,10.33
T359,Notifications,142,29,1.3,39.7,92.6,19.46
T132,Inventory,138,16,4.6,33.8,49.8,15.39
T185,Orders,52,6,1.9,56.1,104.1,7.25
T384,Login,96,6,4.3,58.2,101.0,8.12
T143,Dashboard,32,2,1.7,71.8,119.3,8.88
T384,Notifications,121,4,1.5,31.4,,5.07
T050,Login,131,15,2.2,49.1,9.7,13.04
T344,Orders,51,29,3.0,,91.4,17.05
T053,Login,70,27,4.3,77.5,117.4,17.67
T254,Dashboard,53,25,3.0,32.9,69.2,8.18
T398,Search,25,18,4.9,44.8,109.9,16.52
T432,Payments,123,1,1.9,27.6,112.4,5.84
T434,Dashboard,80,15,3.6,55.9,30.4,12.89
T281,Login,139,7,2.2,43.2,38.8,13.06
T405,Login,148,16,2.1,78.3,6.8,11.73
T449,Orders,83,17,1.8,17.1,96.3,9.65
T181,Inventory,128,29,1.5,23.3,71.5,17.14
T317,Payments,20,21,2.5,73.4,34.8,7.73
T304,Search,57,11,3.7,91.5,79.4,8.95
T371,Orders,66,9,4.6,87.2,78.6,10.57
T286,Orders,25,18,4.8,32.9,45.4,11.64
T317,Orders,81,8,1.1,85.5,90.4,10.95
T310,Notifications,136,16,2.5,66.7,96.8,12.74
T396,Reports,146,19,1.5,85.6,73.5,18.47
T041,Reports,67,14,1.1,11.9,76.1,7.33
T220,Payments,65,0,4.8,39.2,,8.14
T302,Inventory,86,20,2.5,78.3,118.5,12.84
T098,Payments,27,21,1.3,70.0,60.3,13.52
T409,Notifications,112,24,4.6,15.8,48.7,14.6
T293,Inventory,133,29,4.9,81.1,116.7,20.55
T167,Payments,85,28,3.8,99.5,87.5,17.44
T138,Dashboard,108,15,1.4,49.7,12.4,7.22
T126,Orders,55,10,4.9,38.2,60.9,6.96
T053,Dashboard,95,14,3.0,30.2,102.2,11.05
T068,Inventory,103,19,4.7,94.9,58.1,19.92
T300,Dashboard,89,5,3.3,69.4,75.4,8.27
T130,Payments,138,3,3.4,67.9,103.9,12.95
T080,Search,37,11,4.5,26.4,103.3,12.83
T069,Orders,30,25,2.6,,67.5,11.45
T197,Orders,30,0,1.8,22.8,116.3,4.21
T485,Search,79,3,1.8,51.4,38.5,8.22
T062,Reports,37,11,2.1,29.5,79.7,6.64
T147,Orders,127,27,5.0,43.1,,16.51
T308,Inventory,99,28,1.9,18.3,15.3,14.5
T271,Login,23,7,2.1,78.1,78.8,2.54
T413,Notifications,118,23,1.4,93.2,89.4,14.1
T402,Notifications,113,28,1.1,39.7,103.5,13.67
T088,Reports,55,20,2.1,35.6,119.9,17.89
T047,Notifications,90,18,3.1,47.4,79.3,14.53
T053,Login,24,24,4.4,14.2,109.1,13.89
T145,Login,77,29,3.6,51.0,11.2,19.41
T455,Orders,36,12,4.1,58.0,105.1,9.68
T456,Search,26,20,3.8,84.0,76.8,10.16
T085,Reports,105,10,3.6,18.5,95.9,10.72
T011,Notifications,85,28,4.8,47.1,59.0,18.81
T191,Orders,48,12,2.7,42.8,62.6,7.11
T363,Orders,52,18,2.8,55.8,97.1,11.05
T097,Reports,56,5,5.0,74.0,48.9,8.32
T123,Login,144,24,,76.9,63.6,17.17
T236,Orders,147,15,3.2,97.3,50.4,15.28
T499,Notifications,82,27,3.4,10.6,58.2,16.44
T488,Notifications,75,7,1.3,53.1,46.2,3.88
T494,Login,75,13,3.1,31.7,119.1,11.83
T186,Dashboard,84,28,4.9,55.8,9.4,16.15
T152,Orders,45,3,4.7,89.1,119.4,10.45
T471,Inventory,30,0,3.2,24.4,57.9,8.98
T470,Notifications,116,27,2.4,56.2,103.8,19.33
T027,Notifications,127,7,3.4,89.5,91.5,12.77
T077,Orders,33,18,4.7,65.0,12.5,7.76
T067,Search,69,3,2.6,86.2,16.5,7.48
T233,Reports,82,21,3.4,31.0,15.2,11.14
T055,Login,23,26,2.9,83.6,55.8,7.33
T146,Payments,33,22,1.9,80.0,42.0,13.96
T194,Search,132,7,2.2,67.6,107.5,7.5
T186,Notifications,135,19,2.2,26.6,83.0,12.82
T474,Login,135,19,1.0,77.2,13.4,13.55
T259,Search,122,19,1.3,77.3,97.0,9.89
T081,Payments,126,7,2.5,75.6,30.1,8.57
T051,Notifications,71,14,2.6,21.1,35.8,11.89
T323,Notifications,116,12,1.6,83.8,53.6,9.86
T089,Reports,58,4,2.5,34.3,94.7,9.71
T080,Dashboard,41,14,4.2,54.5,50.0,10.17
T350,Login,67,8,2.6,43.7,117.3,6.38
T007,Payments,132,15,2.1,31.7,17.7,11.35
T349,Search,21,10,3.7,16.6,102.3,7.84
T043,Orders,47,6,3.3,90.1,99.2,8.91
T023,Payments,133,1,2.0,94.1,14.7,9.92
T378,Inventory,137,23,4.0,95.7,69.7,19.91
T245,Search,88,12,4.4,35.8,80.0,10.83
T369,Reports,127,5,2.3,21.8,111.3,13.71
T405,Notifications,102,27,2.0,21.0,94.9,13.54
T410,Dashboard,57,20,4.8,28.3,9.1,11.74
T384,Payments,61,2,3.9,38.6,47.7,8.45
T098,Inventory,89,12,4.3,52.8,59.6,12.19
T111,Payments,25,0,1.4,48.5,27.3,1.0
T439,Reports,30,15,2.9,50.9,44.5,9.59
T072,Login,131,2,,59.3,84.9,5.55
T457,Search,144,5,2.7,40.7,54.1,9.87
T209,Notifications,108,6,3.2,22.1,102.7,11.66
T222,Dashboard,101,16,1.1,31.1,30.9,8.51
T193,Payments,48,7,4.8,26.1,35.2,9.98
T365,Inventory,87,10,3.0,39.5,106.3,10.93
T064,Inventory,135,29,2.7,33.0,28.6,19.26
T489,Search,131,9,1.6,57.4,70.5,11.16
T360,Notifications,123,13,3.8,28.1,72.8,9.27
T209,Payments,113,6,4.4,52.0,101.4,11.89
T423,Payments,48,0,2.1,49.5,8.4,1.28
T302,Notifications,37,22,4.7,61.3,66.9,15.84
T360,Reports,22,0,4.4,45.0,19.9,3.0
T104,Notifications,118,11,3.7,18.8,27.9,7.46
T373,Search,60,22,1.5,83.1,115.0,12.54
T164,Login,26,18,2.6,59.6,35.3,10.91
T026,Notifications,36,4,3.1,72.4,53.1,5.28
T224,Payments,66,21,4.0,27.9,18.2,14.48
T076,Reports,146,26,,30.3,23.7,20.35
T457,Login,83,24,2.6,29.6,27.1,14.48
T012,Login,72,5,1.7,,72.5,8.02
T333,Login,126,19,4.4,88.0,36.9,11.96
T208,Dashboard,45,8,4.8,87.8,18.7,6.34
T370,Payments,26,6,4.8,91.1,44.9,5.73
T380,Orders,79,20,1.2,72.6,71.9,12.99
T307,Inventory,113,9,1.9,96.0,29.6,8.79
T240,Orders,31,23,1.2,73.4,108.1,9.8
T151,Search,60,19,3.6,88.6,97.2,8.53
T102,Reports,138,11,2.8,40.3,78.3,13.13
T060,Dashboard,42,9,1.4,,17.6,4.85
T323,Notifications,97,27,3.8,11.7,114.9,19.97
T359,Dashboard,34,9,4.2,47.7,7.2,8.6
T491,Inventory,42,24,2.3,12.9,39.4,13.28
T123,Payments,120,28,2.6,26.1,5.1,17.59
T002,Orders,148,14,3.3,87.7,,13.5
T035,Inventory,41,7,3.0,69.1,113.9,10.17
T038,Login,58,4,3.2,,69.3,1.37
T442,Reports,97,20,4.8,19.7,87.0,13.32
T036,Orders,141,20,4.4,54.5,119.9,18.16
T299,Reports,69,8,4.1,52.1,40.8,10.65
T116,Payments,37,15,4.7,29.9,100.5,14.12
T358,Login,90,27,3.5,97.5,57.8,19.13
T173,Notifications,92,19,3.5,58.0,118.7,15.96
T243,Payments,71,14,2.8,13.9,40.3,9.9
T109,Payments,130,7,4.3,87.6,19.7,9.87
T178,Payments,40,23,,73.6,28.8,13.37
T160,Search,54,2,3.5,29.3,94.6,1.8
T080,Payments,93,8,4.1,31.9,119.9,12.3
T086,Inventory,149,14,4.1,93.8,51.2,14.8
T004,Notifications,68,3,4.6,93.7,72.5,8.99
T312,Login,79,22,4.1,84.8,102.6,16.39
T330,Payments,122,20,1.5,70.0,111.8,12.75
T222,Dashboard,67,6,1.2,85.5,86.5,4.61
T479,Inventory,86,14,3.9,63.4,62.1,8.96
T100,Login,54,21,3.7,66.8,19.5,15.2
T041,Notifications,111,5,1.4,32.9,55.4,10.76
T183,Notifications,89,21,2.3,90.4,90.3,15.71
T473,Inventory,80,14,3.9,,37.6,9.06
T351,Reports,148,17,2.7,77.0,30.0,17.32
T360,Payments,131,14,4.1,78.4,10.3,13.06
T471,Payments,26,26,1.4,53.5,117.5,13.61
T246,Orders,144,13,3.0,17.5,88.8,11.5
T146,Payments,130,6,4.8,12.9,119.3,16.3
T246,Search,137,12,4.7,67.9,31.2,10.78
T248,Dashboard,122,27,4.4,15.7,44.2,14.43
T069,Notifications,44,4,3.0,87.8,25.5,3.96
T402,Search,69,29,4.9,65.2,55.6,15.01
T403,Search,99,3,2.3,12.8,43.5,6.64
T445,Inventory,52,14,5.0,73.0,95.1,11.14
T340,Dashboard,61,24,3.2,96.1,26.8,11.18
T083,Dashboard,115,24,1.7,92.4,28.8,17.57
T136,Dashboard,149,15,2.9,95.8,94.6,17.27
T068,Orders,128,7,4.2,66.2,,14.96
T253,Reports,124,24,1.6,46.0,57.3,13.55
T419,Notifications,123,5,3.0,84.1,5.2,11.8
T252,Payments,115,4,1.4,27.5,45.8,7.72
T077,Orders,58,3,2.4,53.3,100.4,7.59
T384,Login,79,23,3.1,23.2,82.4,11.95
T095,Payments,125,17,,51.3,88.6,16.37
T120,Payments,110,17,4.4,35.4,8.0,48.61856302990646
T277,Dashboard,92,5,1.1,66.7,107.5,5.53
T454,Login,36,21,1.6,99.2,84.5,10.97
T330,Orders,120,9,3.9,44.0,55.9,10.42
T060,Notifications,144,15,2.8,30.3,13.3,12.23
T035,Orders,143,25,3.5,41.9,12.1,22.67
T454,Notifications,82,13,1.1,33.9,92.2,10.63
T124,Dashboard,68,0,4.8,81.9,8.4,5.17
T377,Inventory,78,25,4.9,12.2,119.4,23.12
T026,Notifications,145,4,2.8,87.3,50.5,11.14
T207,Notifications,23,17,1.8,78.8,95.9,6.09
T477,Reports,107,22,2.2,14.9,61.9,13.1
T331,Reports,123,27,3.3,99.6,76.9,21.0
T076,Orders,54,19,1.2,32.2,66.2,9.8
T290,Reports,53,11,4.3,52.5,83.4,7.46
T394,Dashboard,64,14,1.5,16.7,66.1,8.26
T428,Orders,91,10,2.2,97.2,,9.61
T021,Dashboard,20,10,1.3,71.8,40.5,11.37
T211,Notifications,107,23,2.2,21.5,30.2,18.81
T159,Dashboard,143,20,1.7,17.5,25.5,12.84
T260,Login,125,11,1.0,85.0,116.2,10.85
T431,Reports,86,13,4.9,36.7,62.0,12.69
T286,Inventory,76,26,2.6,57.3,92.9,15.55
T048,Payments,136,27,3.0,85.9,64.8,17.94
T497,Search,126,1,1.5,61.3,68.9,11.09
T028,Search,72,28,2.1,73.7,47.5,14.87
T466,Reports,109,27,1.0,12.1,54.3,14.64
T456,Search,25,13,1.6,78.8,42.8,3.85
T026,Search,69,27,3.7,47.9,40.0,15.82
T239,Payments,137,23,2.6,32.4,,19.37
T095,Orders,24,21,4.6,41.2,63.5,15.4
T103,Inventory,75,10,2.6,76.1,64.8,6.22
T186,Reports,117,6,3.3,54.6,111.5,10.75
T406,Reports,51,16,4.1,36.7,17.1,11.27
T030,Inventory,27,8,4.8,39.0,27.8,9.03
T391,Payments,50,15,3.6,43.5,76.6,12.96
T311,Orders,90,13,4.3,48.6,69.4,8.05
T048,Login,47,14,3.1,53.5,36.8,8.81
T048,Inventory,132,8,1.6,59.5,104.5,11.12
T317,Orders,71,25,1.9,82.8,103.9,14.06
T135,Search,22,26,4.3,90.2,79.6,12.3
T460,Login,28,13,1.4,68.5,108.3,6.89
T098,Search,86,11,3.9,42.3,62.9,9.13
T438,Orders,129,28,2.4,18.8,50.1,17.0
T173,Search,69,1,1.5,28.8,105.3,4.25
T227,Reports,140,9,4.7,22.1,25.5,12.31
T168,Dashboard,78,26,2.9,42.6,43.3,15.53
T381,Notifications,47,28,3.5,77.9,79.7,14.81
T417,Payments,75,1,4.1,23.4,54.5,9.36
T472,Dashboard,137,9,3.5,83.2,9.2,11.6
T079,Notifications,136,15,2.1,15.5,17.0,9.87
T497,Reports,112,1,3.8,49.3,20.0,10.08
T127,Orders,35,20,2.3,46.3,91.1,10.97
T278,Inventory,50,17,3.5,91.5,42.8,7.57
T091,Dashboard,60,1,2.9,82.4,15.4,8.96
T399,Dashboard,54,17,4.7,49.9,46.4,9.25
T113,Inventory,43,15,3.1,54.1,63.9,6.21
T405,Login,51,21,1.4,16.1,76.2,12.36
T002,Notifications,123,14,4.9,69.9,17.8,10.2
T327,Login,139,2,1.2,50.7,55.9,6.24
T410,Dashboard,71,20,2.4,26.8,106.5,13.1
T046,Search,75,14,2.0,69.4,117.0,13.08
T097,Login,99,23,1.5,94.2,17.9,13.85
T417,Search,55,7,1.1,30.3,99.7,4.6
T251,Payments,82,21,2.6,81.1,68.4,16.61
T416,Payments,68,7,3.4,59.3,50.0,8.71
T170,Search,43,15,2.0,79.8,97.7,6.0
T235,Inventory,93,16,1.9,79.9,15.2,7.64
T080,Orders,147,8,1.1,73.2,86.7,9.49
T088,Reports,69,19,1.4,32.0,101.8,14.11
T023,Orders,128,10,4.5,81.3,9.3,9.23
T495,Dashboard,128,6,4.9,51.8,32.2,10.3
T351,Payments,47,21,3.8,50.5,114.0,15.31
T303,Inventory,115,8,2.8,50.8,98.9,6.54
T488,Notifications,108,5,3.3,27.1,77.8,7.47
T328,Dashboard,20,4,1.6,43.5,87.0,10.27
T153,Login,93,16,3.7,72.1,50.4,16.09
T298,Inventory,114,17,3.0,50.4,60.7,12.33
T165,Login,149,21,4.0,85.4,62.9,13.66
T160,Dashboard,130,16,4.1,10.9,85.9,15.62
T273,Orders,117,22,2.9,54.7,114.4,17.56
T344,Inventory,66,16,3.8,67.8,46.0,13.63
T151,Inventory,36,0,3.9,80.1,72.2,11.2
T481,Search,37,18,4.9,88.4,95.7,13.97
T388,Payments,48,19,2.9,79.2,103.1,15.06
T397,Inventory,80,5,1.2,48.2,6.2,5.78
T383,Dashboard,121,0,3.9,12.1,72.2,12.88
T328,Inventory,23,26,4.9,32.9,101.9,19.03
T010,Search,33,15,3.2,14.6,86.6,13.12
T216,Reports,38,16,4.5,19.7,19.0,7.91
T499,Reports,41,24,3.6,97.0,52.4,9.79
T224,Search,121,13,3.4,55.4,,14.31
T168,Login,46,17,4.5,76.6,47.8,10.11
T378,Reports,66,26,3.2,64.2,77.3,10.65
T360,Reports,20,15,4.2,21.6,21.6,7.36
T193,Inventory,20,11,4.3,42.3,79.8,8.34
T191,Login,21,22,4.9,20.0,64.2,14.61
T345,Orders,29,28,1.9,94.8,110.6,13.67
T077,Orders,92,5,4.2,66.8,106.6,44.88130641741467
T094,Dashboard,89,10,4.3,75.4,82.6,10.83
T468,Payments,89,5,4.0,56.6,75.9,11.07
T224,Reports,32,13,2.1,53.8,109.6,14.47
T496,Reports,98,3,3.8,66.4,64.7,6.26
T197,Payments,48,6,3.0,89.7,14.1,6.22
T454,Orders,87,18,4.4,,11.9,14.51
T366,Orders,62,11,1.3,18.0,69.6,12.53
T444,Orders,136,19,4.3,41.6,107.0,15.34
T053,Login,117,17,4.8,21.9,59.2,16.05
T008,Inventory,119,20,2.7,10.3,35.3,14.99
T425,Dashboard,26,7,1.7,64.6,7.5,1.0
T370,Inventory,86,17,3.8,35.1,70.8,11.08
T074,Payments,92,14,3.9,44.8,99.0,9.31
T343,Orders,34,17,2.8,46.2,68.4,11.02
T015,Search,149,10,2.2,30.5,92.1,10.24
T050,Dashboard,97,10,1.9,93.1,80.8,7.6
T098,Search,26,6,3.5,93.6,7.0,6.44
T231,Orders,34,10,1.2,52.9,33.0,5.9
T154,Notifications,33,18,4.5,69.1,114.5,13.33
T442,Orders,135,28,2.7,82.8,58.3,15.69
T297,Notifications,30,3,2.2,17.6,114.6,6.4
T018,Reports,70,24,2.7,26.6,31.2,13.63
T493,Dashboard,60,27,3.6,70.7,82.1,18.66
T161,Dashboard,123,29,4.8,16.0,7.7,17.2
T212,Inventory,45,11,1.1,85.1,119.4,8.31
T379,Inventory,24,20,3.3,76.0,103.7,15.04
T354,Login,22,14,4.3,63.5,,13.76
T232,Notifications,83,24,4.0,52.8,54.0,17.82
T379,Orders,37,7,1.1,60.6,29.3,7.05
T233,Orders,95,20,1.0,12.7,28.5,6.45
T412,Login,72,14,1.2,78.9,77.5,10.3
T432,Reports,128,10,1.5,32.9,76.7,12.19
T014,Notifications,123,4,2.0,21.8,35.9,6.17
T199,Notifications,90,13,3.8,78.1,44.9,10.46
T272,Orders,129,2,2.8,59.6,13.6,7.39
T221,Payments,99,9,3.4,21.0,92.6,8.77
T403,Payments,113,3,4.4,89.0,13.9,11.1
T223,Orders,97,12,5.0,48.6,113.8,10.78
T433,Search,103,22,4.1,59.7,89.7,13.64
T194,Orders,55,7,2.5,32.7,28.8,6.37
T489,Reports,25,27,4.1,62.9,104.8,15.44
T493,Search,102,25,3.1,71.6,,12.39
T339,Dashboard,38,10,2.2,80.7,89.5,10.07
T163,Reports,67,10,2.5,56.9,11.7,8.61
T134,Login,20,4,3.2,69.9,27.1,2.23
T047,Reports,97,14,5.0,43.2,39.2,14.49
T212,Search,52,23,3.5,45.7,23.2,13.54
T412,Dashboard,113,20,3.7,18.8,29.8,17.85
T155,Inventory,76,18,4.0,89.4,37.4,13.27
T405,Reports,47,27,2.7,10.2,114.3,13.27
T344,Reports,23,28,3.9,88.3,61.1,12.64
T244,Payments,57,18,2.9,54.5,62.0,12.71
T116,Dashboard,79,8,4.1,80.1,23.7,12.39
T341,Search,57,3,5.0,39.9,98.6,1.21
T274,Payments,59,27,1.8,40.0,53.6,10.42
T316,Reports,45,19,2.9,98.1,71.9,10.97
T121,Inventory,107,18,3.7,59.3,14.1,9.24
T193,Login,118,16,3.7,40.6,82.9,15.99
T378,Search,28,24,4.9,21.2,102.9,12.79
T045,Inventory,149,9,2.4,36.4,76.5,13.08
T133,Reports,32,3,3.0,56.7,74.4,5.15
T052,Login,128,10,4.2,42.1,39.7,11.91
T306,Login,96,15,1.2,40.5,64.5,9.07
T331,Orders,121,26,4.5,85.6,65.6,13.15
T467,Payments,91,24,1.2,63.1,115.4,20.58
T422,Notifications,27,26,2.9,85.8,79.7,13.41
T310,Dashboard,131,17,1.0,29.7,37.2,12.79
